Time_GMT	Temp_C
10/14/2012 21:08	26.64
10/14/2012 21:18	22.18
10/14/2012 21:28	20.68
10/14/2012 21:38	20.34
10/14/2012 21:48	20.36
10/14/2012 21:58	20.23
10/14/2012 22:08	20.23
10/14/2012 22:18	20.07
10/14/2012 22:28	19.99
10/14/2012 22:38	20.1
10/14/2012 22:48	20.09
10/14/2012 22:58	20.11
10/14/2012 23:08	20.02
10/14/2012 23:18	19.69
10/14/2012 23:28	19.53
10/14/2012 23:38	19.31
10/14/2012 23:48	19
10/14/2012 23:58	18.74
10/15/2012 0:08	18.55
10/15/2012 0:18	18.18
10/15/2012 0:28	17.95
10/15/2012 0:38	17.7
10/15/2012 0:48	17.35
10/15/2012 0:58	17.13
10/15/2012 1:08	16.86
10/15/2012 1:18	16.48
10/15/2012 1:28	16.11
10/15/2012 1:38	15.85
10/15/2012 1:48	15.6
10/15/2012 1:58	15.56
10/15/2012 2:08	15.52
10/15/2012 2:18	15.44
10/15/2012 2:28	15.46
10/15/2012 2:38	15.47
10/15/2012 2:48	15.42
10/15/2012 2:58	15.33
10/15/2012 3:08	15.32
10/15/2012 3:18	15.31
10/15/2012 3:28	15.25
10/15/2012 3:38	15.28
10/15/2012 3:48	15.25
10/15/2012 3:58	15.22
10/15/2012 4:08	15.21
10/15/2012 4:18	15.17
10/15/2012 4:28	15.14
10/15/2012 4:38	15.17
10/15/2012 4:48	15.08
10/15/2012 4:58	15.08
10/15/2012 5:08	15.07
10/15/2012 5:18	15.04
10/15/2012 5:28	15.01
10/15/2012 5:38	15.04
10/15/2012 5:48	14.87
10/15/2012 5:58	14.97
10/15/2012 6:08	15.04
10/15/2012 6:18	15.03
10/15/2012 6:28	15.02
10/15/2012 6:38	15.02
10/15/2012 6:48	15.03
10/15/2012 6:58	15
10/15/2012 7:08	15.03
10/15/2012 7:18	14.86
10/15/2012 7:28	14.89
10/15/2012 7:38	14.88
10/15/2012 7:48	14.88
10/15/2012 7:58	14.88
10/15/2012 8:08	14.87
10/15/2012 8:18	14.83
10/15/2012 8:28	14.89
10/15/2012 8:38	14.82
10/15/2012 8:48	14.87
10/15/2012 8:58	14.91
10/15/2012 9:08	14.83
10/15/2012 9:18	14.79
10/15/2012 9:28	14.68
10/15/2012 9:38	14.47
10/15/2012 9:48	14.41
10/15/2012 9:58	14.26
10/15/2012 10:08	14.24
10/15/2012 10:18	14.28
10/15/2012 10:28	14.13
10/15/2012 10:38	14.15
10/15/2012 10:48	14.09
10/15/2012 10:58	13.99
10/15/2012 11:08	13.94
10/15/2012 11:18	13.89
10/15/2012 11:28	13.74
10/15/2012 11:38	13.75
10/15/2012 11:48	13.95
10/15/2012 11:58	14.27
10/15/2012 12:08	14.41
10/15/2012 12:18	14.47
10/15/2012 12:28	14.53
10/15/2012 12:38	14.61
10/15/2012 12:48	14.68
10/15/2012 12:58	14.79
10/15/2012 13:08	14.75
10/15/2012 13:18	14.75
10/15/2012 13:28	14.83
10/15/2012 13:38	14.84
10/15/2012 13:48	14.91
10/15/2012 13:58	14.91
10/15/2012 14:08	14.93
10/15/2012 14:18	14.9
10/15/2012 14:28	14.91
10/15/2012 14:38	14.9
10/15/2012 14:48	14.86
10/15/2012 14:58	14.81
10/15/2012 15:08	14.82
10/15/2012 15:18	14.75
10/15/2012 15:28	14.79
10/15/2012 15:38	14.8
10/15/2012 15:48	14.75
10/15/2012 15:58	14.68
10/15/2012 16:08	14.63
10/15/2012 16:18	14.66
10/15/2012 16:28	14.64
10/15/2012 16:38	14.61
10/15/2012 16:48	14.68
10/15/2012 16:58	14.61
10/15/2012 17:08	14.66
10/15/2012 17:18	14.68
10/15/2012 17:28	14.69
10/15/2012 17:38	14.78
10/15/2012 17:48	14.75
10/15/2012 17:58	14.76
10/15/2012 18:08	14.88
10/15/2012 18:18	14.82
10/15/2012 18:28	14.79
10/15/2012 18:38	14.79
10/15/2012 18:48	14.75
10/15/2012 18:58	14.81
10/15/2012 19:08	14.82
10/15/2012 19:18	14.91
10/15/2012 19:28	14.91
10/15/2012 19:38	14.87
10/15/2012 19:48	14.97
10/15/2012 19:58	15
10/15/2012 20:08	14.98
10/15/2012 20:18	15.03
10/15/2012 20:28	14.95
10/15/2012 20:38	15.1
10/15/2012 20:48	15.09
10/15/2012 20:58	15.21
10/15/2012 21:08	15.48
10/15/2012 21:18	15.59
10/15/2012 21:28	15.95
10/15/2012 21:38	16.63
10/15/2012 21:48	17.05
10/15/2012 21:58	17.46
10/15/2012 22:08	17.85
10/15/2012 22:18	18.04
10/15/2012 22:28	17.96
10/15/2012 22:38	17.95
10/15/2012 22:48	17.95
10/15/2012 22:58	17.97
10/15/2012 23:08	17.82
10/15/2012 23:18	17.67
10/15/2012 23:28	17.64
10/15/2012 23:38	17.51
10/15/2012 23:48	17.28
10/15/2012 23:58	17.21
10/16/2012 0:08	16.99
10/16/2012 0:18	16.81
10/16/2012 0:28	16.51
10/16/2012 0:38	16.36
10/16/2012 0:48	16.09
10/16/2012 0:58	15.94
10/16/2012 1:08	15.72
10/16/2012 1:18	15.56
10/16/2012 1:28	15.37
10/16/2012 1:38	15.2
10/16/2012 1:48	15.1
10/16/2012 1:58	15.03
10/16/2012 2:08	14.87
10/16/2012 2:18	14.92
10/16/2012 2:28	14.75
10/16/2012 2:38	14.77
10/16/2012 2:48	14.77
10/16/2012 2:58	14.77
10/16/2012 3:08	14.75
10/16/2012 3:18	14.79
10/16/2012 3:28	14.76
10/16/2012 3:38	14.66
10/16/2012 3:48	14.68
10/16/2012 3:58	14.66
10/16/2012 4:08	14.6
10/16/2012 4:18	14.64
10/16/2012 4:28	14.62
10/16/2012 4:38	14.63
10/16/2012 4:48	14.52
10/16/2012 4:58	14.5
10/16/2012 5:08	14.51
10/16/2012 5:18	14.52
10/16/2012 5:28	14.44
10/16/2012 5:38	14.37
10/16/2012 5:48	14.34
10/16/2012 5:58	14.41
10/16/2012 6:08	14.34
10/16/2012 6:18	14.36
10/16/2012 6:28	14.42
10/16/2012 6:38	14.41
10/16/2012 6:48	14.41
10/16/2012 6:58	14.22
10/16/2012 7:08	14.24
10/16/2012 7:18	14.23
10/16/2012 7:28	14.27
10/16/2012 7:38	14.27
10/16/2012 7:48	14.27
10/16/2012 7:58	14.13
10/16/2012 8:08	14.28
10/16/2012 8:18	14.22
10/16/2012 8:28	14.13
10/16/2012 8:38	14.09
10/16/2012 8:48	14.12
10/16/2012 8:58	14.15
10/16/2012 9:08	14.15
10/16/2012 9:18	14.15
10/16/2012 9:28	14.15
10/16/2012 9:38	14.12
10/16/2012 9:48	14.11
10/16/2012 9:58	14.05
10/16/2012 10:08	13.97
10/16/2012 10:18	14.03
10/16/2012 10:28	14.03
10/16/2012 10:38	13.94
10/16/2012 10:48	13.87
10/16/2012 10:58	13.89
10/16/2012 11:08	13.86
10/16/2012 11:18	13.8
10/16/2012 11:28	13.88
10/16/2012 11:38	13.83
10/16/2012 11:48	13.91
10/16/2012 11:58	13.78
10/16/2012 12:08	13.76
10/16/2012 12:18	13.77
10/16/2012 12:28	13.72
10/16/2012 12:38	13.9
10/16/2012 12:48	13.91
10/16/2012 12:58	13.9
10/16/2012 13:08	13.87
10/16/2012 13:18	13.83
10/16/2012 13:28	13.87
10/16/2012 13:38	13.86
10/16/2012 13:48	13.84
10/16/2012 13:58	13.83
10/16/2012 14:08	13.83
10/16/2012 14:18	13.86
10/16/2012 14:28	13.91
10/16/2012 14:38	13.84
10/16/2012 14:48	13.93
10/16/2012 14:58	13.88
10/16/2012 15:08	13.92
10/16/2012 15:18	13.91
10/16/2012 15:28	13.92
10/16/2012 15:38	13.94
10/16/2012 15:48	13.95
10/16/2012 15:58	13.99
10/16/2012 16:08	13.99
10/16/2012 16:18	14.01
10/16/2012 16:28	14.01
10/16/2012 16:38	14.02
10/16/2012 16:48	14.01
10/16/2012 16:58	14.03
10/16/2012 17:08	14.02
10/16/2012 17:18	13.99
10/16/2012 17:28	13.98
10/16/2012 17:38	13.99
10/16/2012 17:48	14
10/16/2012 17:58	14.03
10/16/2012 18:08	13.99
10/16/2012 18:18	14.01
10/16/2012 18:28	14
10/16/2012 18:38	13.97
10/16/2012 18:48	13.95
10/16/2012 18:58	14.14
10/16/2012 19:08	14.15
10/16/2012 19:18	14.15
10/16/2012 19:28	14.15
10/16/2012 19:38	14.16
10/16/2012 19:48	14.06
10/16/2012 19:58	14.15
10/16/2012 20:08	14.08
10/16/2012 20:18	14.13
10/16/2012 20:28	14.12
10/16/2012 20:38	14.25
10/16/2012 20:48	14.3
10/16/2012 20:58	14.37
10/16/2012 21:08	14.37
10/16/2012 21:18	14.47
10/16/2012 21:28	14.44
10/16/2012 21:38	14.5
10/16/2012 21:48	14.66
10/16/2012 21:58	14.94
10/16/2012 22:08	15.26
10/16/2012 22:18	15.73
10/16/2012 22:28	16.13
10/16/2012 22:38	16.51
10/16/2012 22:48	16.78
10/16/2012 22:58	16.91
10/16/2012 23:08	16.92
10/16/2012 23:18	16.92
10/16/2012 23:28	16.95
10/16/2012 23:38	16.94
10/16/2012 23:48	16.78
10/16/2012 23:58	16.67
10/17/2012 0:08	16.67
10/17/2012 0:18	16.52
10/17/2012 0:28	16.37
10/17/2012 0:38	16.21
10/17/2012 0:48	16.1
10/17/2012 0:58	15.94
10/17/2012 1:08	15.73
10/17/2012 1:18	15.6
10/17/2012 1:28	15.33
10/17/2012 1:38	15.21
10/17/2012 1:48	15.06
10/17/2012 1:58	14.87
10/17/2012 2:08	14.75
10/17/2012 2:18	14.61
10/17/2012 2:28	14.47
10/17/2012 2:38	14.44
10/17/2012 2:48	14.42
10/17/2012 2:58	14.32
10/17/2012 3:08	14.22
10/17/2012 3:18	14.22
10/17/2012 3:28	14.18
10/17/2012 3:38	14.18
10/17/2012 3:48	14.06
10/17/2012 3:58	14.03
10/17/2012 4:08	14.08
10/17/2012 4:18	14.05
10/17/2012 4:28	14.06
10/17/2012 4:38	14.05
10/17/2012 4:48	13.99
10/17/2012 4:58	14.02
10/17/2012 5:08	14.03
10/17/2012 5:18	14.05
10/17/2012 5:28	14.07
10/17/2012 5:38	14.03
10/17/2012 5:48	14.05
10/17/2012 5:58	14.02
10/17/2012 6:08	14.07
10/17/2012 6:18	14.03
10/17/2012 6:28	14
10/17/2012 6:38	13.99
10/17/2012 6:48	14
10/17/2012 6:58	14.03
10/17/2012 7:08	14.02
10/17/2012 7:18	14.03
10/17/2012 7:28	14.03
10/17/2012 7:38	13.99
10/17/2012 7:48	13.91
10/17/2012 7:58	13.92
10/17/2012 8:08	13.86
10/17/2012 8:18	13.84
10/17/2012 8:28	13.85
10/17/2012 8:38	13.91
10/17/2012 8:48	13.88
10/17/2012 8:58	13.92
10/17/2012 9:08	13.92
10/17/2012 9:18	13.91
10/17/2012 9:28	13.91
10/17/2012 9:38	13.91
10/17/2012 9:48	13.87
10/17/2012 9:58	13.91
10/17/2012 10:08	13.86
10/17/2012 10:18	13.73
10/17/2012 10:28	13.75
10/17/2012 10:38	13.7
10/17/2012 10:48	13.72
10/17/2012 10:58	13.71
10/17/2012 11:08	13.78
10/17/2012 11:18	13.74
10/17/2012 11:28	13.72
10/17/2012 11:38	13.78
10/17/2012 11:48	13.73
10/17/2012 11:58	13.77
10/17/2012 12:08	13.76
10/17/2012 12:18	13.76
10/17/2012 12:28	13.72
10/17/2012 12:38	13.74
10/17/2012 12:48	13.71
10/17/2012 12:58	13.58
10/17/2012 13:08	13.59
10/17/2012 13:18	13.74
10/17/2012 13:28	13.74
10/17/2012 13:38	13.72
10/17/2012 13:48	13.76
10/17/2012 13:58	13.77
10/17/2012 14:08	13.79
10/17/2012 14:18	13.78
10/17/2012 14:28	13.78
10/17/2012 14:38	13.78
10/17/2012 14:48	13.76
10/17/2012 14:58	13.76
10/17/2012 15:08	13.76
10/17/2012 15:18	13.78
10/17/2012 15:28	13.75
10/17/2012 15:38	13.76
10/17/2012 15:48	13.76
10/17/2012 15:58	13.76
10/17/2012 16:08	13.77
10/17/2012 16:18	13.76
10/17/2012 16:28	13.78
10/17/2012 16:38	13.76
10/17/2012 16:48	13.78
10/17/2012 16:58	13.76
10/17/2012 17:08	13.72
10/17/2012 17:18	13.76
10/17/2012 17:28	13.75
10/17/2012 17:38	13.73
10/17/2012 17:48	13.71
10/17/2012 17:58	13.76
10/17/2012 18:08	13.72
10/17/2012 18:18	13.79
10/17/2012 18:28	13.82
10/17/2012 18:38	13.89
10/17/2012 18:48	13.89
10/17/2012 18:58	13.83
10/17/2012 19:08	13.86
10/17/2012 19:18	13.9
10/17/2012 19:28	13.89
10/17/2012 19:38	13.78
10/17/2012 19:48	13.87
10/17/2012 19:58	13.87
10/17/2012 20:08	13.92
10/17/2012 20:18	14.01
10/17/2012 20:28	14.02
10/17/2012 20:38	14.01
10/17/2012 20:48	14.03
10/17/2012 20:58	13.87
10/17/2012 21:08	13.96
10/17/2012 21:18	13.99
10/17/2012 21:28	13.98
10/17/2012 21:38	14.07
10/17/2012 21:48	14.07
10/17/2012 21:58	14.08
10/17/2012 22:08	14.07
10/17/2012 22:18	14.15
10/17/2012 22:28	14.2
10/17/2012 22:38	14.14
10/17/2012 22:48	14.28
10/17/2012 22:58	14.51
10/17/2012 23:08	14.83
10/17/2012 23:18	15.29
10/17/2012 23:28	15.67
10/17/2012 23:38	15.54
10/17/2012 23:48	15.68
10/17/2012 23:58	15.65
10/18/2012 0:08	15.64
10/18/2012 0:18	15.6
10/18/2012 0:28	15.37
10/18/2012 0:38	15.21
10/18/2012 0:48	15.01
10/18/2012 0:58	14.84
10/18/2012 1:08	14.66
10/18/2012 1:18	14.43
10/18/2012 1:28	14.25
10/18/2012 1:38	14.14
10/18/2012 1:48	14.04
10/18/2012 1:58	13.91
10/18/2012 2:08	13.82
10/18/2012 2:18	13.76
10/18/2012 2:28	13.76
10/18/2012 2:38	13.64
10/18/2012 2:48	13.49
10/18/2012 2:58	13.49
10/18/2012 3:08	13.36
10/18/2012 3:18	13.39
10/18/2012 3:28	13.24
10/18/2012 3:38	13.23
10/18/2012 3:48	13.28
10/18/2012 3:58	13.23
10/18/2012 4:08	13.25
10/18/2012 4:18	13.26
10/18/2012 4:28	13.29
10/18/2012 4:38	13.52
10/18/2012 4:48	13.48
10/18/2012 4:58	13.61
10/18/2012 5:08	13.62
10/18/2012 5:18	13.63
10/18/2012 5:28	13.63
10/18/2012 5:38	13.64
10/18/2012 5:48	13.63
10/18/2012 5:58	13.62
10/18/2012 6:08	13.54
10/18/2012 6:18	13.61
10/18/2012 6:28	13.59
10/18/2012 6:38	13.59
10/18/2012 6:48	13.54
10/18/2012 6:58	13.57
10/18/2012 7:08	13.53
10/18/2012 7:18	13.49
10/18/2012 7:28	13.49
10/18/2012 7:38	13.48
10/18/2012 7:48	13.52
10/18/2012 7:58	13.53
10/18/2012 8:08	13.53
10/18/2012 8:18	13.51
10/18/2012 8:28	13.52
10/18/2012 8:38	13.51
10/18/2012 8:48	13.5
10/18/2012 8:58	13.53
10/18/2012 9:08	13.52
10/18/2012 9:18	13.51
10/18/2012 9:28	13.51
10/18/2012 9:38	13.52
10/18/2012 9:48	13.52
10/18/2012 9:58	13.52
10/18/2012 10:08	13.52
10/18/2012 10:18	13.5
10/18/2012 10:28	13.44
10/18/2012 10:38	13.45
10/18/2012 10:48	13.45
10/18/2012 10:58	13.4
10/18/2012 11:08	13.34
10/18/2012 11:18	13.38
10/18/2012 11:28	13.48
10/18/2012 11:38	13.51
10/18/2012 11:48	13.51
10/18/2012 11:58	13.53
10/18/2012 12:08	13.53
10/18/2012 12:18	13.51
10/18/2012 12:28	13.51
10/18/2012 12:38	13.52
10/18/2012 12:48	13.49
10/18/2012 12:58	13.49
10/18/2012 13:08	13.48
10/18/2012 13:18	13.49
10/18/2012 13:28	13.45
10/18/2012 13:38	13.49
10/18/2012 13:48	13.44
10/18/2012 13:58	13.45
10/18/2012 14:08	13.41
10/18/2012 14:18	13.45
10/18/2012 14:28	13.43
10/18/2012 14:38	13.5
10/18/2012 14:48	13.49
10/18/2012 14:58	13.5
10/18/2012 15:08	13.49
10/18/2012 15:18	13.49
10/18/2012 15:28	13.47
10/18/2012 15:38	13.47
10/18/2012 15:48	13.56
10/18/2012 15:58	13.48
10/18/2012 16:08	13.52
10/18/2012 16:18	13.49
10/18/2012 16:28	13.53
10/18/2012 16:38	13.57
10/18/2012 16:48	13.63
10/18/2012 16:58	13.62
10/18/2012 17:08	13.65
10/18/2012 17:18	13.64
10/18/2012 17:28	13.67
10/18/2012 17:38	13.76
10/18/2012 17:48	13.76
10/18/2012 17:58	13.78
10/18/2012 18:08	13.76
10/18/2012 18:18	13.73
10/18/2012 18:28	13.71
10/18/2012 18:38	13.74
10/18/2012 18:48	13.76
10/18/2012 18:58	13.8
10/18/2012 19:08	13.87
10/18/2012 19:18	13.85
10/18/2012 19:28	13.89
10/18/2012 19:38	13.91
10/18/2012 19:48	14.02
10/18/2012 19:58	13.99
10/18/2012 20:08	14.1
10/18/2012 20:18	14.15
10/18/2012 20:28	14.13
10/18/2012 20:38	14.13
10/18/2012 20:48	14.11
10/18/2012 20:58	14.13
10/18/2012 21:08	14.12
10/18/2012 21:18	14.13
10/18/2012 21:28	14.18
10/18/2012 21:38	14.18
10/18/2012 21:48	14.24
10/18/2012 21:58	14.33
10/18/2012 22:08	14.29
10/18/2012 22:18	14.48
10/18/2012 22:28	14.59
10/18/2012 22:38	14.64
10/18/2012 22:48	14.73
10/18/2012 22:58	14.78
10/18/2012 23:08	14.81
10/18/2012 23:18	14.98
10/18/2012 23:28	15
10/18/2012 23:38	15.09
10/18/2012 23:48	15.33
10/18/2012 23:58	15.43
10/19/2012 0:08	15.7
10/19/2012 0:18	15.89
10/19/2012 0:28	16.02
10/19/2012 0:38	15.98
10/19/2012 0:48	15.86
10/19/2012 0:58	15.86
10/19/2012 1:08	15.69
10/19/2012 1:18	15.75
10/19/2012 1:28	15.6
10/19/2012 1:38	15.31
10/19/2012 1:48	15.31
10/19/2012 1:58	15.49
10/19/2012 2:08	15.45
10/19/2012 2:18	15.43
10/19/2012 2:28	15.46
10/19/2012 2:38	15.61
10/19/2012 2:48	15.6
10/19/2012 2:58	15.6
10/19/2012 3:08	15.6
10/19/2012 3:18	15.65
10/19/2012 3:28	15.74
10/19/2012 3:38	15.75
10/19/2012 3:48	15.75
10/19/2012 3:58	15.73
10/19/2012 4:08	15.72
10/19/2012 4:18	15.67
10/19/2012 4:28	15.63
10/19/2012 4:38	15.59
10/19/2012 4:48	15.72
10/19/2012 4:58	15.74
10/19/2012 5:08	15.74
10/19/2012 5:18	15.74
10/19/2012 5:28	15.71
10/19/2012 5:38	15.52
10/19/2012 5:48	15.23
10/19/2012 5:58	14.94
10/19/2012 6:08	14.79
10/19/2012 6:18	14.84
10/19/2012 6:28	14.7
10/19/2012 6:38	14.72
10/19/2012 6:48	14.71
10/19/2012 6:58	14.56
10/19/2012 7:08	14.56
10/19/2012 7:18	14.6
10/19/2012 7:28	14.52
10/19/2012 7:38	14.6
10/19/2012 7:48	14.49
10/19/2012 7:58	14.45
10/19/2012 8:08	14.49
10/19/2012 8:18	14.53
10/19/2012 8:28	14.48
10/19/2012 8:38	14.45
10/19/2012 8:48	14.47
10/19/2012 8:58	14.53
10/19/2012 9:08	14.53
10/19/2012 9:18	14.47
10/19/2012 9:28	14.45
10/19/2012 9:38	14.5
10/19/2012 9:48	14.47
10/19/2012 9:58	14.49
10/19/2012 10:08	14.52
10/19/2012 10:18	14.55
10/19/2012 10:28	14.62
10/19/2012 10:38	14.69
10/19/2012 10:48	14.75
10/19/2012 10:58	14.82
10/19/2012 11:08	14.95
10/19/2012 11:18	15.06
10/19/2012 11:28	15.1
10/19/2012 11:38	15.05
10/19/2012 11:48	15.04
10/19/2012 11:58	15.2
10/19/2012 12:08	15.23
10/19/2012 12:18	15.25
10/19/2012 12:28	15.25
10/19/2012 12:38	15.22
10/19/2012 12:48	15.21
10/19/2012 12:58	15.22
10/19/2012 13:08	15.21
10/19/2012 13:18	15.18
10/19/2012 13:28	15.17
10/19/2012 13:38	15.16
10/19/2012 13:48	15.2
10/19/2012 13:58	15.25
10/19/2012 14:08	15.2
10/19/2012 14:18	15.24
10/19/2012 14:28	15.23
10/19/2012 14:38	15.09
10/19/2012 14:48	15.07
10/19/2012 14:58	15.08
10/19/2012 15:08	15.1
10/19/2012 15:18	15.11
10/19/2012 15:28	15.03
10/19/2012 15:38	15.04
10/19/2012 15:48	15.08
10/19/2012 15:58	15.1
10/19/2012 16:08	15.07
10/19/2012 16:18	15.12
10/19/2012 16:28	15.09
10/19/2012 16:38	15.11
10/19/2012 16:48	15.1
10/19/2012 16:58	15.06
10/19/2012 17:08	14.99
10/19/2012 17:18	15.01
10/19/2012 17:28	15.05
10/19/2012 17:38	15.07
10/19/2012 17:48	15.05
10/19/2012 17:58	15.03
10/19/2012 18:08	14.94
10/19/2012 18:18	15.03
10/19/2012 18:28	15.02
10/19/2012 18:38	15.01
10/19/2012 18:48	15.02
10/19/2012 18:58	15.09
10/19/2012 19:08	15.1
10/19/2012 19:18	15.06
10/19/2012 19:28	15.07
10/19/2012 19:38	15.07
10/19/2012 19:48	15.12
10/19/2012 19:58	15.09
10/19/2012 20:08	15.12
10/19/2012 20:18	15.08
10/19/2012 20:28	15.05
10/19/2012 20:38	15.04
10/19/2012 20:48	15.12
10/19/2012 20:58	15.1
10/19/2012 21:08	15.1
10/19/2012 21:18	15.2
10/19/2012 21:28	15.2
10/19/2012 21:38	15.17
10/19/2012 21:48	15.29
10/19/2012 21:58	15.36
10/19/2012 22:08	15.34
10/19/2012 22:18	15.37
10/19/2012 22:28	15.48
10/19/2012 22:38	15.42
10/19/2012 22:48	15.57
10/19/2012 22:58	15.6
10/19/2012 23:08	15.63
10/19/2012 23:18	15.56
10/19/2012 23:28	15.63
10/19/2012 23:38	15.71
10/19/2012 23:48	15.63
10/19/2012 23:58	15.55
10/20/2012 0:08	15.56
10/20/2012 0:18	15.57
10/20/2012 0:28	15.66
10/20/2012 0:38	15.71
10/20/2012 0:48	15.72
10/20/2012 0:58	15.77
10/20/2012 1:08	15.79
10/20/2012 1:18	15.69
10/20/2012 1:28	15.73
10/20/2012 1:38	15.55
10/20/2012 1:48	15.62
10/20/2012 1:58	15.63
10/20/2012 2:08	15.62
10/20/2012 2:18	15.57
10/20/2012 2:28	15.43
10/20/2012 2:38	15.5
10/20/2012 2:48	15.49
10/20/2012 2:58	15.47
10/20/2012 3:08	15.36
10/20/2012 3:18	15.3
10/20/2012 3:28	15.29
10/20/2012 3:38	15.33
10/20/2012 3:48	15.31
10/20/2012 3:58	15.29
10/20/2012 4:08	15.36
10/20/2012 4:18	15.4
10/20/2012 4:28	15.34
10/20/2012 4:38	15.37
10/20/2012 4:48	15.31
10/20/2012 4:58	15.29
10/20/2012 5:08	15.37
10/20/2012 5:18	15.34
10/20/2012 5:28	15.29
10/20/2012 5:38	15.25
10/20/2012 5:48	15.2
10/20/2012 5:58	15.03
10/20/2012 6:08	15.09
10/20/2012 6:18	15.1
10/20/2012 6:28	15.02
10/20/2012 6:38	15.11
10/20/2012 6:48	15.24
10/20/2012 6:58	15.29
10/20/2012 7:08	15.36
10/20/2012 7:18	15.34
10/20/2012 7:28	15.37
10/20/2012 7:38	15.37
10/20/2012 7:48	15.37
10/20/2012 7:58	15.33
10/20/2012 8:08	15.33
10/20/2012 8:18	15.36
10/20/2012 8:28	15.38
10/20/2012 8:38	15.35
10/20/2012 8:48	15.33
10/20/2012 8:58	15.34
10/20/2012 9:08	15.32
10/20/2012 9:18	15.33
10/20/2012 9:28	15.32
10/20/2012 9:38	15.3
10/20/2012 9:48	15.31
10/20/2012 9:58	15.29
10/20/2012 10:08	15.32
10/20/2012 10:18	15.29
10/20/2012 10:28	15.34
10/20/2012 10:38	15.32
10/20/2012 10:48	15.31
10/20/2012 10:58	15.3
10/20/2012 11:08	15.34
10/20/2012 11:18	15.36
10/20/2012 11:28	15.29
10/20/2012 11:38	15.16
10/20/2012 11:48	15.2
10/20/2012 11:58	15.25
10/20/2012 12:08	15.23
10/20/2012 12:18	15.25
10/20/2012 12:28	15.24
10/20/2012 12:38	15.25
10/20/2012 12:48	15.24
10/20/2012 12:58	15.23
10/20/2012 13:08	15.22
10/20/2012 13:18	15.17
10/20/2012 13:28	15.13
10/20/2012 13:38	15.06
10/20/2012 13:48	15.08
10/20/2012 13:58	15.06
10/20/2012 14:08	15.07
10/20/2012 14:18	15.11
10/20/2012 14:28	15.1
10/20/2012 14:38	15.1
10/20/2012 14:48	15.1
10/20/2012 14:58	15.09
10/20/2012 15:08	15.06
10/20/2012 15:18	15.1
10/20/2012 15:28	15.12
10/20/2012 15:38	15.12
10/20/2012 15:48	15.1
10/20/2012 15:58	15.08
10/20/2012 16:08	15.08
10/20/2012 16:18	15.1
10/20/2012 16:28	15.1
10/20/2012 16:38	15.11
10/20/2012 16:48	15.11
10/20/2012 16:58	15.11
10/20/2012 17:08	15.1
10/20/2012 17:18	15.09
10/20/2012 17:28	15.06
10/20/2012 17:38	15.1
10/20/2012 17:48	15.08
10/20/2012 17:58	15.08
10/20/2012 18:08	15.1
10/20/2012 18:18	15.1
10/20/2012 18:28	15.1
10/20/2012 18:38	15.11
10/20/2012 18:48	15.1
10/20/2012 18:58	15.11
10/20/2012 19:08	15.1
10/20/2012 19:18	15.09
10/20/2012 19:28	15.09
10/20/2012 19:38	15.11
10/20/2012 19:48	15.1
10/20/2012 19:58	15.06
10/20/2012 20:08	15.04
10/20/2012 20:18	15.11
10/20/2012 20:28	15.16
10/20/2012 20:38	15.21
10/20/2012 20:48	15.22
10/20/2012 20:58	15.22
10/20/2012 21:08	15.2
10/20/2012 21:18	15.21
10/20/2012 21:28	15.21
10/20/2012 21:38	15.24
10/20/2012 21:48	15.22
10/20/2012 21:58	15.23
10/20/2012 22:08	15.24
10/20/2012 22:18	15.23
10/20/2012 22:28	15.14
10/20/2012 22:38	15.18
10/20/2012 22:48	15.23
10/20/2012 22:58	15.22
10/20/2012 23:08	15.22
10/20/2012 23:18	15.21
10/20/2012 23:28	15.17
10/20/2012 23:38	15.21
10/20/2012 23:48	15.32
10/20/2012 23:58	15.32
10/21/2012 0:08	15.32
10/21/2012 0:18	15.25
10/21/2012 0:28	15.17
10/21/2012 0:38	15.16
10/21/2012 0:48	15.17
10/21/2012 0:58	15.23
10/21/2012 1:08	15.21
10/21/2012 1:18	15.13
10/21/2012 1:28	15.1
10/21/2012 1:38	15.09
10/21/2012 1:48	15.11
10/21/2012 1:58	15.09
10/21/2012 2:08	14.93
10/21/2012 2:18	14.96
10/21/2012 2:28	14.83
10/21/2012 2:38	14.87
10/21/2012 2:48	14.82
10/21/2012 2:58	14.74
10/21/2012 3:08	14.69
10/21/2012 3:18	14.69
10/21/2012 3:28	14.64
10/21/2012 3:38	14.54
10/21/2012 3:48	14.52
10/21/2012 3:58	14.46
10/21/2012 4:08	14.42
10/21/2012 4:18	14.45
10/21/2012 4:28	14.47
10/21/2012 4:38	14.47
10/21/2012 4:48	14.37
10/21/2012 4:58	14.27
10/21/2012 5:08	14.24
10/21/2012 5:18	14.3
10/21/2012 5:28	14.37
10/21/2012 5:38	14.33
10/21/2012 5:48	14.23
10/21/2012 5:58	14.27
10/21/2012 6:08	14.22
10/21/2012 6:18	14.28
10/21/2012 6:28	14.3
10/21/2012 6:38	14.33
10/21/2012 6:48	14.37
10/21/2012 6:58	14.37
10/21/2012 7:08	14.4
10/21/2012 7:18	14.46
10/21/2012 7:28	14.45
10/21/2012 7:38	14.46
10/21/2012 7:48	14.57
10/21/2012 7:58	14.55
10/21/2012 8:08	14.68
10/21/2012 8:18	14.7
10/21/2012 8:28	14.74
